"Μήνας","Σύνολο Καταθέσεων Και Ρέπος"
"Iανουάριος 2001",118.1
"Φεβρουάριος 2001",120.1
"Μάρτιος 2001",121.8
"Απρίλιος 2001",124.5
"Μάιος 2001",125.2
"Ιούνιος 2001",127.3
"Ιούλιος 2001",128.4
"Αύγουστος 2001",129.3
"Σεπτέμβριος 2001",130.9
"Οκτώβριος 2001",133.7
"Νοέμβριος 2001",134.5
"Δεκέμβριος 2001",135.7
"Iανουάριος 2002",132.5
"Φεβρουάριος 2002",135.1
"Μάρτιος 2002",133.3
"Απρίλιος 2002",135.4
"Μάιος 2002",133.3
"Ιούνιος 2002",134.5
"Ιούλιος 2002",135.3
"Αύγουστος 2002",134.8
"Σεπτέμβριος 2002",136
"Οκτώβριος 2002",135.9
"Νοέμβριος 2002",133
"Δεκέμβριος 2002",133.8
"Iανουάριος 2003",134.1
"Φεβρουάριος 2003",131.5
"Μάρτιος 2003",132
"Απρίλιος 2003",132
"Μάιος 2003",131.8
"Ιούνιος 2003",134.1
"Ιούλιος 2003",134.7
"Αύγουστος 2003",135.3
"Σεπτέμβριος 2003",137.3
"Οκτώβριος 2003",137
"Νοέμβριος 2003",138.3
"Δεκέμβριος 2003",140
"Iανουάριος 2004",140.4
"Φεβρουάριος 2004",146
"Μάρτιος 2004",143.4
"Απρίλιος 2004",147.9
"Μάιος 2004",149.8
"Ιούνιος 2004",152.3
"Ιούλιος 2004",153.5
"Αύγουστος 2004",153.3
"Σεπτέμβριος 2004",158.5
"Οκτώβριος 2004",156.8
"Νοέμβριος 2004",158.8
"Δεκέμβριος 2004",159.9
"Iανουάριος 2005",160.8
"Φεβρουάριος 2005",165.5
"Μάρτιος 2005",162.9
"Απρίλιος 2005",168.2
"Μάιος 2005",170.9
"Ιούνιος 2005",172.4
"Ιούλιος 2005",172.3
"Αύγουστος 2005",173.3
"Σεπτέμβριος 2005",180.7
"Οκτώβριος 2005",184.2
"Νοέμβριος 2005",187
"Δεκέμβριος 2005",187.6
"Iανουάριος 2006",189.3
"Φεβρουάριος 2006",189.3
"Μάρτιος 2006",191
"Απρίλιος 2006",190.9
"Μάιος 2006",198.3
"Ιούνιος 2006",197.6
"Ιούλιος 2006",197.7
"Αύγουστος 2006",198.9
"Σεπτέμβριος 2006",202
"Οκτώβριος 2006",205
"Νοέμβριος 2006",205.1
"Δεκέμβριος 2006",211.5
"Iανουάριος 2007",214.7
"Φεβρουάριος 2007",219.4
"Μάρτιος 2007",225.3
"Απρίλιος 2007",224.6
"Μάιος 2007",228.1
"Ιούνιος 2007",232.5
"Ιούλιος 2007",236.5
"Αύγουστος 2007",236.6
"Σεπτέμβριος 2007",236.7
"Οκτώβριος 2007",236.5
"Νοέμβριος 2007",242
"Δεκέμβριος 2007",248.7
"Iανουάριος 2008",249.7
"Φεβρουάριος 2008",251.5
"Μάρτιος 2008",254.5
"Απρίλιος 2008",258.6
"Μάιος 2008",263.3
"Ιούνιος 2008",267.1
"Ιούλιος 2008",267.2
"Αύγουστος 2008",270.6
"Σεπτέμβριος 2008",273.9
"Οκτώβριος 2008",279.5
"Νοέμβριος 2008",280.6
"Δεκέμβριος 2008",280.4
"Iανουάριος 2009",279.6
"Φεβρουάριος 2009",278.3
"Μάρτιος 2009",277.6
"Απρίλιος 2009",281.6
"Μάιος 2009",278
"Ιούνιος 2009",281.4
"Ιούλιος 2009",276.7
"Αύγουστος 2009",279.8
"Σεπτέμβριος 2009",282.2
"Οκτώβριος 2009",279.2
"Νοέμβριος 2009",277.4
"Δεκέμβριος 2009",279.5
"Iανουάριος 2010",274
"Φεβρουάριος 2010",273.2
"Μάρτιος 2010",270.9
"Απρίλιος 2010",262.6
"Μάιος 2010",260.7
"Ιούνιος 2010",256.3
"Ιούλιος 2010",249.5
"Αύγουστος 2010",248.6
"Σεπτέμβριος 2010",253.3
"Οκτώβριος 2010",250.4
"Νοέμβριος 2010",247
"Δεκέμβριος 2010",247.2
"Iανουάριος 2011",244.7
"Φεβρουάριος 2011",243.3
"Μάρτιος 2011",244.4
"Απρίλιος 2011",237.8
"Μάιος 2011",224.2
"Ιούνιος 2011",219
"Ιούλιος 2011",227.1
"Αύγουστος 2011",220.5
"Σεπτέμβριος 2011",212.9
"Οκτώβριος 2011",204.6
"Νοέμβριος 2011",202.8
"Δεκέμβριος 2011",202.2
"Iανουάριος 2012",199.1
"Φεβρουάριος 2012",192.6
"Μάρτιος 2012",191.6
"Απρίλιος 2012",193.6
"Μάιος 2012",184.5
"Ιούνιος 2012",176.2
"Ιούλιος 2012",180.1
"Αύγουστος 2012",179.6
"Σεπτέμβριος 2012",180.6
"Οκτώβριος 2012",181.3
"Νοέμβριος 2012",182.4
"Δεκέμβριος 2012",191.2
"Iανουάριος 2013",193.7
"Φεβρουάριος 2013",195.6
"Μάρτιος 2013",195.4
"Απρίλιος 2013",190.3
"Μάιος 2013",191.3
"Ιούνιος 2013",189.7
"Ιούλιος 2013",191.7
"Αύγουστος 2013",192.9
"Σεπτέμβριος 2013",191.9
"Οκτώβριος 2013",190.7
"Νοέμβριος 2013",190.8
"Δεκέμβριος 2013",190.5
"Iανουάριος 2014",187.5
"Φεβρουάριος 2014",186.8
"Μάρτιος 2014",188.8
"Απρίλιος 2014",189.6
