DATE,ASPROPYRGOS,GALATSI,KIOURKA,MENIDI,TOTAL CONSUMPTION,EVINOS,MARATHONAS,MORNOS,YLIKI,TOTAL m3,TEMP,HIGH,TIME,LOW,TIME,DAYS,DAYS,RAIN,SPEED,HIGH,TIME,DIR
01-02-99,"35,600","185,190","72,050","516,320","809,160",0,"18,184,090","573,220,000","338,268,000","929,672,090",,,,,,,,,,,,
02-02-99,"36,340","189,730","74,680","529,960","830,710",0,"18,236,155","574,540,000","338,832,000","931,608,155",,,,,,,,,,,,
03-02-99,"37,100","204,280","72,940","542,850","857,170",0,"18,253,510","575,695,000","339,584,000","933,532,510",,,,,,,,,,,,
04-02-99,"37,220","195,810","72,750","532,740","838,520",0,"18,270,952","575,860,000","340,336,000","934,466,952",,,,,,,,,,,,
05-02-99,"38,960","200,790","73,570","531,090","844,410",0,"18,288,394","576,025,000","341,088,000","935,401,394",,,,,,,,,,,,
06-02-99,"41,530","204,130","76,790","562,660","885,110",0,"18,305,836","576,190,000","342,028,000","936,523,836",,,,,,,,,,,,
07-02-99,"36,910","169,630","71,270","544,620","822,430",0,"18,323,278","580,480,000","343,344,000","942,147,278",,,,,,,,,,,,
08-02-99,"36,030","176,140","73,240","560,950","846,360",0,"18,358,162","582,635,000","345,036,000","946,029,162",,,,,,,,,,,,
09-02-99,"36,330","198,640","74,150","548,240","857,360",0,"18,375,604","588,647,000","346,540,000","953,562,604",,,,,,,,,,,,
10-02-99,"37,960","190,420","75,680","541,320","845,380",0,"18,393,046","591,319,000","350,300,000","960,012,046",,,,,,,,,,,,
11-02-99,"39,180","177,250","76,060","558,310","850,800",0,"18,410,488","593,657,000","352,210,000","964,277,488",,,,,,,,,,,,
12-02-99,"37,860","228,170","83,490","506,420","855,940",0,"18,427,930","597,498,000","353,929,000","969,854,930",,,,,,,,,,,,
13-02-99,"40,370","212,680","78,220","562,410","893,680",0,"18,358,162","600,200,000","356,603,000","975,161,162",,,,,,,,,,,,
14-02-99,"36,490","148,690","81,200","560,760","827,140",0,"18,323,278","603,430,000","358,513,000","980,266,278",,,,,,,,,,,,
15-02-99,"38,740","203,490","74,100","543,900","860,230",0,"18,323,278","605,810,000","359,850,000","983,983,278",,,,,,,,,,,,
16-02-99,"36,510","188,320","76,800","527,090","828,720",0,"18,393,046","607,340,000","361,378,000","987,111,046",,,,,,,,,,,,
17-02-99,"33,830","197,210","77,570","529,750","838,360",0,"18,393,046","608,530,000","362,333,000","989,256,046",,,,,,,,,,,,
18-02-99,"38,790","190,450","71,040","541,450","841,730",0,"18,410,488","609,890,000","363,479,000","991,779,488",,,,,,,,,,,,
19-02-99,"39,380","192,810","77,440","524,130","833,760",0,"18,410,488","611,420,000","364,434,000","994,264,488",,,,,,,,,,,,
20-02-99,"44,670","202,750","80,730","546,270","874,420",0,"18,410,488","612,610,000","365,389,000","996,409,488",,,,,,,,,,,,
21-02-99,"41,930","171,200","75,810","513,470","802,410",0,"18,410,488","613,460,000","366,153,000","998,023,488",,,,,,,,,,,,
22-02-99,"42,560","182,240","80,380","491,590","796,770",0,"18,410,488","614,820,000","366,917,000","1,000,147,488",,,,,,,,,,,,
23-02-99,"39,550","206,710","77,310","534,230","857,800",0,"18,427,930","616,019,000","367,681,000","1,002,127,930",,,,,,,,,,,,
24-02-99,"37,760","209,080","75,510","536,610","858,960",0,"18,445,459","618,787,000","368,445,000","1,005,677,459",,,,,,,,,,,,
25-02-99,"42,980","195,490","75,950","547,910","862,330",0,"18,462,988","620,344,000","369,209,000","1,008,015,988",,,,,,,,,,,,
26-02-99,"40,280","195,660","80,250","524,170","840,360",0,"18,498,046","621,555,000","369,982,000","1,010,035,046",,,,,,,,,,,,
27-02-99,"40,210","206,260","83,050","557,000","886,520",0,"18,515,575","622,766,000","370,758,000","1,012,039,575",,,,,,,,,,,,
28-02-99,"38,330","181,130","80,820","542,190","842,470",0,"18,533,104","623,977,000","371,340,000","1,013,850,104",,,,,,,,,,,,
01-03-99,"41,170","186,840","80,520","558,730","867,260",0,"18,550,633","625,015,000","371,922,000","1,015,487,633",,,,,,,,,,,,
