DATE,HIGH_TEMP,LOW_TEMP,RAIN_COND,Temp_Dif
09-01-23,15,5,0,10
10-01-23,16,7,1,9
11-01-23,14,6,1,8
12-01-23,15,6,0,9
13-01-23,7,0,0,7
14-01-23,11,1,0,10
15-01-23,12,5,1,7
16-01-23,14,6,0,8
17-01-23,18,10,0,8
18-01-23,12,9,0,3
19-01-23,10,3,0,7
20-01-23,14,10,1,4
21-01-23,16,9,0,7
22-01-23,7,-1,1,8
23-01-23,17,7,0,10
24-01-23,4,-1,0,5
25-01-23,3,0,1,3
26-01-23,5,1,0,4
27-01-23,12,6,0,6
28-01-23,12,6,1,6
29-01-23,13,5,0,8
30-01-23,13,6,0,7
31-01-23,13,7,0,6
01-02-23,14,7,0,7
02-02-23,7,3,0,4
03-02-23,14,8,0,6
04-02-23,15,8,0,7
05-02-23,15,8,0,7
06-02-23,14,7,0,7
07-02-23,14,8,0,6
08-02-23,13,7,0,6
09-02-23,13,6,0,7
