"Μήνας","Δείκτης"
"Ιανουάριος 2000",161.38
"Φεβρουάριος 2000",418.83
"Μάρτιος 2000",395.45
"Απρίλιος 2000",1141.29
"Μάιος 2000",843.99
"Ιούνιος 2000",1017.02
"Ιούλιος 2000",1034.98
"Αύγουστος 2000",769.16
"Σεπτέμβριος 2000",663.73
"Οκτώβριος 2000",937.19
"Νοέμβριος 2000",848.25
"Δεκέμβριος 2000",801.66
"Ιανουάριος 2001",865.88
"Φεβρουάριος 2001",1454.6
"Μάρτιος 2001",571.03
"Απρίλιος 2001",881.42
"Μάιος 2001",435.49
"Ιούνιος 2001",567.51
"Ιούλιος 2001",516.94
"Αύγουστος 2001",228.5
"Σεπτέμβριος 2001",366.12
"Οκτώβριος 2001",399.9
"Νοέμβριος 2001",338.89
"Δεκέμβριος 2001",367.04
"Ιανουάριος 2002",304.36
"Φεβρουάριος 2002",549.63
"Μάρτιος 2002",361.35
"Απρίλιος 2002",341.07
"Μάιος 2002",252.95
"Ιούνιος 2002",486.87
"Ιούλιος 2002",426.81
"Αύγουστος 2002",283.07
"Σεπτέμβριος 2002",468.66
"Οκτώβριος 2002",458.76
"Νοέμβριος 2002",504.06
"Δεκέμβριος 2002",629.18
"Ιανουάριος 2003",158.15
"Φεβρουάριος 2003",245.9
"Μάρτιος 2003",445.12
"Απρίλιος 2003",275.7
"Μάιος 2003",365.74
"Ιούνιος 2003",777.47
"Ιούλιος 2003",443.4
"Αύγουστος 2003",227.16
"Σεπτέμβριος 2003",574.38
"Οκτώβριος 2003",342.83
"Νοέμβριος 2003",291.8
"Δεκέμβριος 2003",519.5
"Ιανουάριος 2004",191.33
"Φεβρουάριος 2004",275.09
"Μάρτιος 2004",459.79
"Απρίλιος 2004",322.16
"Μάιος 2004",321.53
"Ιούνιος 2004",548.88
"Ιούλιος 2004",486.32
"Αύγουστος 2004",380.93
"Σεπτέμβριος 2004",508.89
"Οκτώβριος 2004",369.68
"Νοέμβριος 2004",375.28
"Δεκέμβριος 2004",458.28
"Ιανουάριος 2005",245.68
"Φεβρουάριος 2005",285.27
"Μάρτιος 2005",271.49
"Απρίλιος 2005",244.37
"Μάιος 2005",219.82
"Ιούνιος 2005",299.64
"Ιούλιος 2005",293.32
"Αύγουστος 2005",170.58
"Σεπτέμβριος 2005",276.36
"Οκτώβριος 2005",216.52
"Νοέμβριος 2005",268.67
"Δεκέμβριος 2005",291.72
"Ιανουάριος 2006",161.63
"Φεβρουάριος 2006",222.64
"Μάρτιος 2006",262.89
"Απρίλιος 2006",264.24
"Μάιος 2006",271.26
"Ιούνιος 2006",255.79
"Ιούλιος 2006",216.62
"Αύγουστος 2006",138.92
"Σεπτέμβριος 2006",268.78
"Οκτώβριος 2006",212.43
"Νοέμβριος 2006",263.94
"Δεκέμβριος 2006",249.3
"Ιανουάριος 2007",172.92
"Φεβρουάριος 2007",230.78
"Μάρτιος 2007",211.58
"Απρίλιος 2007",188.08
"Μάιος 2007",163.78
"Ιούνιος 2007",201.69
"Ιούλιος 2007",170.78
"Αύγουστος 2007",125.18
"Σεπτέμβριος 2007",232.93
"Οκτώβριος 2007",211.05
"Νοέμβριος 2007",192.83
"Δεκέμβριος 2007",183.45
"Ιανουάριος 2008",164.62
"Φεβρουάριος 2008",207.5
"Μάρτιος 2008",232.94
"Απρίλιος 2008",205.5
"Μάιος 2008",202.96
"Ιούνιος 2008",191.52
"Ιούλιος 2008",177.93
"Αύγουστος 2008",99.17
"Σεπτέμβριος 2008",192.01
"Οκτώβριος 2008",220.57
"Νοέμβριος 2008",192.19
"Δεκέμβριος 2008",136.91
"Ιανουάριος 2009",96.12
"Φεβρουάριος 2009",102.15
"Μάρτιος 2009",143.56
"Απρίλιος 2009",108.29
"Μάιος 2009",123.83
"Ιούνιος 2009",104.4
"Ιούλιος 2009",92.62
"Αύγουστος 2009",36.78
"Σεπτέμβριος 2009",125.3
"Οκτώβριος 2009",109.44
"Νοέμβριος 2009",115.53
"Δεκέμβριος 2009",127.2
"Ιανουάριος 2010",49.51
"Φεβρουάριος 2010",74.59
"Μάρτιος 2010",89.56
"Απρίλιος 2010",101.69
"Μάιος 2010",81.15
"Ιούνιος 2010",84.84
"Ιούλιος 2010",66.91
"Αύγουστος 2010",51.01
"Σεπτέμβριος 2010",84.13
"Οκτώβριος 2010",89.23
"Νοέμβριος 2010",83.12
"Δεκέμβριος 2010",87.91
"Ιανουάριος 2011",42
"Φεβρουάριος 2011",62.4
"Μάρτιος 2011",74.94
"Απρίλιος 2011",78.17
"Μάιος 2011",60.1
"Ιούνιος 2011",66.42
"Ιούλιος 2011",59.17
"Αύγουστος 2011",28.95
"Σεπτέμβριος 2011",64.48
"Οκτώβριος 2011",42.55
"Νοέμβριος 2011",52.36
"Δεκέμβριος 2011",75.38
