"Mήνας","Δείκτης"
"Iανουάριος 2001",124.7
"Φεβρουάριος 2001",123.8
"Μάρτιος 2001",121.1
"Απρίλιος 2001",126.1
"Μάιος 2001",122.3
"Ιούνιος 2001",123.7
"Ιούλιος 2001",124.9
"Αύγουστος 2001",122.7
"Σεπτέμβριος 2001",123.4
"Οκτώβριος 2001",125.5
"Νοέμβριος 2001",126.7
"Δεκέμβριος 2001",126.3
"Iανουάριος 2002",127
"Φεβρουάριος 2002",128.8
"Μάρτιος 2002",127.2
"Απρίλιος 2002",126.7
"Μάιος 2002",132.2
"Ιούνιος 2002",131.7
"Ιούλιος 2002",130.7
"Αύγουστος 2002",131.1
"Σεπτέμβριος 2002",132.5
"Οκτώβριος 2002",132
"Νοέμβριος 2002",132.3
"Δεκέμβριος 2002",135.1
"Iανουάριος 2003",137.1
"Φεβρουάριος 2003",133.6
"Μάρτιος 2003",135.3
"Απρίλιος 2003",134.7
"Μάιος 2003",136.7
"Ιούνιος 2003",135.7
"Ιούλιος 2003",134.8
"Αύγουστος 2003",139.3
"Σεπτέμβριος 2003",139.3
"Οκτώβριος 2003",137.8
"Νοέμβριος 2003",141.2
"Δεκέμβριος 2003",140.3
"Iανουάριος 2004",143.7
"Φεβρουάριος 2004",141.7
"Μάρτιος 2004",141.7
"Απρίλιος 2004",142.5
"Μάιος 2004",141.6
"Ιούνιος 2004",141.9
"Ιούλιος 2004",141.6
"Αύγουστος 2004",142.3
"Σεπτέμβριος 2004",144.3
"Οκτώβριος 2004",143.4
"Νοέμβριος 2004",145.5
"Δεκέμβριος 2004",145.5
"Iανουάριος 2005",143
"Φεβρουάριος 2005",146
"Μάρτιος 2005",146.4
"Απρίλιος 2005",144.9
"Μάιος 2005",147.7
"Ιούνιος 2005",148.3
"Ιούλιος 2005",153.8
"Αύγουστος 2005",152.1
"Σεπτέμβριος 2005",151.8
"Οκτώβριος 2005",159.2
"Νοέμβριος 2005",153
"Δεκέμβριος 2005",150.9
"Iανουάριος 2006",150.1
"Φεβρουάριος 2006",158.3
"Μάρτιος 2006",159.6
"Απρίλιος 2006",162.8
"Μάιος 2006",160.1
"Ιούνιος 2006",162.6
"Ιούλιος 2006",165.6
"Αύγουστος 2006",167
"Σεπτέμβριος 2006",170.7
"Οκτώβριος 2006",163.3
"Νοέμβριος 2006",166.8
"Δεκέμβριος 2006",171.6
"Iανουάριος 2007",162
"Φεβρουάριος 2007",169.5
"Μάρτιος 2007",166.1
"Απρίλιος 2007",163.6
"Μάιος 2007",167.5
"Ιούνιος 2007",167.9
"Ιούλιος 2007",167.4
"Αύγουστος 2007",168.5
"Σεπτέμβριος 2007",166.2
"Οκτώβριος 2007",162.7
"Νοέμβριος 2007",169.4
"Δεκέμβριος 2007",174.1
"Iανουάριος 2008",172.7
"Φεβρουάριος 2008",170.8
"Μάρτιος 2008",176.8
"Απρίλιος 2008",175
"Μάιος 2008",173.8
"Ιούνιος 2008",171.6
"Ιούλιος 2008",166.3
