,TOTAL CONSUMPTION,TEMP,HIGH_TEMP,LOW_TEMP,RAIN_COND,Temp_Dif
0,1357948.0,28.4,32.3,25.5,0,6.799999999999997
1,1320870.0,27.8,31.4,24.9,0,6.5
2,1267636.0,27.7,31.5,24.8,0,6.699999999999999
3,1332155.0,28.4,32.8,23.5,0,9.299999999999997
4,1320697.0,30.6,35.7,24.7,0,11.000000000000004
5,1301962.0,31.9,37.2,25.9,0,11.300000000000004
6,1307209.0,31.3,34.2,28.5,0,5.700000000000003
7,1305471.0,30.0,34.3,26.4,0,7.899999999999999
8,1276232.0,29.3,33.8,26.2,0,7.599999999999998
9,1156972.0,28.6,34.4,23.3,1,11.099999999999998
10,1202567.0,26.9,31.4,23.4,0,8.0
11,1225766.0,28.8,33.8,24.3,0,9.499999999999996
12,1251825.0,30.2,35.1,24.8,0,10.3
13,1213775.0,31.2,35.1,26.9,0,8.200000000000003
14,1127148.0,32.3,35.9,28.8,0,7.099999999999998
15,1187585.0,31.9,37.1,26.2,0,10.900000000000002
16,1225194.0,30.3,36.3,26.4,0,9.899999999999999
17,1268340.0,29.7,34.4,26.1,0,8.299999999999997
18,1245854.0,30.1,33.6,26.2,0,7.400000000000002
19,1278022.0,31.2,35.2,27.6,0,7.600000000000001
20,1274191.0,30.8,34.8,27.1,0,7.699999999999996
21,1298089.0,31.1,35.5,26.2,0,9.3
22,1300169.0,32.3,37.1,28.1,0,9.0
23,1309223.0,31.1,35.7,26.2,0,9.500000000000004
24,1377401.0,31.2,36.7,26.5,0,10.200000000000003
25,1377144.0,30.8,35.3,27.3,0,7.9999999999999964
26,1360557.0,29.9,33.9,26.8,0,7.099999999999998
27,1384955.0,29.1,34.2,25.4,0,8.800000000000004
28,1359754.0,27.4,31.3,23.8,0,7.5
29,1325444.0,26.6,31.6,23.3,0,8.3
30,1266234.0,25.4,28.6,23.1,1,5.5
31,1328288.0,25.4,28.8,22.9,0,5.900000000000002
32,1359794.0,26.0,30.4,21.9,0,8.5
33,1388731.0,26.4,30.8,22.1,0,8.7
34,1375499.0,27.3,31.0,23.1,0,7.899999999999999
35,1388024.0,28.6,34.1,23.1,0,11.0
36,1375345.0,29.9,35.1,23.8,0,11.3
37,1353967.0,30.2,34.7,25.8,0,8.900000000000002
38,1389432.0,29.9,34.4,25.9,0,8.5
39,1403513.0,29.4,34.6,24.7,0,9.900000000000002
40,1427824.0,29.2,32.3,26.9,0,5.399999999999999
41,1405839.0,28.0,32.1,25.3,0,6.800000000000001
42,1417557.0,27.2,31.6,23.3,0,8.3
43,1421040.0,27.7,31.3,24.4,0,6.900000000000002
44,1369964.0,28.4,33.2,23.9,0,9.300000000000004
45,1372536.0,27.2,31.8,24.4,1,7.400000000000002
46,1356410.0,26.1,30.1,23.1,0,7.0
47,1362531.0,25.3,28.4,22.9,0,5.5
48,1325894.0,22.9,26.7,20.2,0,6.5
49,1306613.0,21.7,25.3,19.3,0,6.0
50,1184299.0,17.8,20.8,15.3,1,5.5
51,1198025.0,17.7,20.5,15.7,1,4.800000000000001
52,1193796.0,18.2,21.9,15.6,1,6.299999999999999
53,1212820.0,19.4,23.6,15.0,0,8.600000000000001
54,1188600.0,20.9,24.2,18.1,0,6.099999999999998
55,1184665.0,21.2,24.9,18.2,1,6.699999999999999
56,1170094.0,21.1,26.4,18.0,1,8.399999999999999
57,1175671.0,19.3,21.8,17.6,0,4.199999999999999
58,1128770.0,18.3,20.4,16.8,1,3.599999999999998
59,1164993.0,18.0,21.8,14.9,0,6.9
60,1187061.0,18.9,23.1,14.2,0,8.900000000000002
61,1185438.0,20.0,22.3,16.4,0,5.900000000000002
